Bill Name,Committee Name,Congress
116-HB6152,Financial Services,116
116-HB7603,Financial Services,116
116-HB902,Ways And Means,116
116-HB8909,Agriculture,116
117-HB6553,Education and Labor,117
117-HB3202,Small Business,117
116-HB7686,Energy And Commerce,116
116-HB1276,Natural Resources,116
116-HB4534,Energy And Commerce,116
116-HB4711,Ways And Means,116
117-HB6653,Small Business,117
116-HB5939,Energy And Commerce,116
117-HB881,Energy And Commerce,117
116-HB4624,Energy And Commerce,116
116-HB1168,Education and Labor,116
117-HB486,Transportation And Infrastructure,117
116-HR435,Foreign Affairs,116
117-HB8299,Energy And Commerce,117
116-HR855,Foreign Affairs,116
116-HR1232,Education and Labor,116
116-HB7738,Foreign Affairs,116
117-HB7061,Ways And Means,117
116-HB1506,Energy And Commerce,116
116-HB6059,Ways And Means,116
116-HR234,Oversight and Reform,116
116-HB8374,Energy And Commerce,116
117-HB3438,Small Business,117
117-HB4843,Education and Labor,117
116-HB2260,Judiciary,116
116-HB245,Natural Resources,116
116-HB2007,Ways And Means,116
117-HB495,Judiciary,117
116-HR624,Judiciary,116
117-HB1982,Transportation And Infrastructure,117
116-HB6576,Financial Services,116
117-HB9103,Natural Resources,117
117-HB6091,Armed Services,117
117-HR811,Energy And Commerce,117
116-HB4124,Ways And Means,116
117-HB6685,Energy And Commerce,117
117-HB2765,Education and Labor,117
116-HB4908,Veterans' Affairs,116
117-HB5070,Small Business,117
117-HB4650,Energy And Commerce,117
117-HR509,Education and Labor,117
116-HB3555,Education and Labor,116
117-HB339,Transportation And Infrastructure,117
117-HB2636,Energy And Commerce,117
117-HB48,Natural Resources,117
116-HB4889,Judiciary,116
116-HB1723,Agriculture,116
116-HB3986,Education and Labor,116
116-HB7295,Ways And Means,116
117-HB7307,Small Business,117
116-HB8870,Administration,116
116-HB7049,Armed Services,116
117-HR178,Budget,117
116-HB724,Judiciary,116
117-HB604,Education and Labor,117
117-HB4519,Oversight and Reform,117
116-HB1365,Natural Resources,116
116-HB7415,Judiciary,116
116-HB8859,Transportation And Infrastructure,116
117-HB3721,Transportation And Infrastructure,117
117-HB6454,Small Business,117
117-HB6320,Energy And Commerce,117
116-HB3038,"Science, Space, And Technology",116
117-HB4784,Ways And Means,117
117-HB9335,Oversight and Reform,117
116-HCR15,Foreign Affairs,116
116-HB5985,Energy And Commerce,116
117-HB1700,Energy And Commerce,117
117-HB85,Foreign Affairs,117
117-HB1206,Judiciary,117
116-HR271,Energy And Commerce,116
116-HB7241,Small Business,116
117-HB898,Energy And Commerce,117
116-HB1006,Energy And Commerce,116
117-HB3243,Homeland Security,117
116-HB6472,Energy And Commerce,116
116-HB1744,Energy And Commerce,116
117-HB9057,Ways And Means,117
117-HB1647,Energy And Commerce,117
117-HB7513,Energy And Commerce,117
117-HB8664,Foreign Affairs,117
117-HB5385,Financial Services,117
116-HB8353,Energy And Commerce,116
116-HB4587,Education and Labor,116
117-HB5969,Judiciary,117
116-HB4093,Natural Resources,116
117-HB7180,"Science, Space, And Technology",117
116-HB3993,Judiciary,116
116-HB7236,"Science, Space, And Technology",116
117-HB3263,Homeland Security,117
117-HB7365,Education and Labor,117
116-HB1283,Judiciary,116
117-HB3659,Judiciary,117
116-HR619,Foreign Affairs,116
117-HB4910,Homeland Security,117
117-HB1005,Judiciary,117
116-HB6729,Financial Services,116
116-HB6709,Education and Labor,116
116-HB7815,Natural Resources,116
116-HB6473,Armed Services,116
117-HB1459,Ways And Means,117
117-HB8609,Judiciary,117
116-HB3501,Foreign Affairs,116
116-HB8980,Judiciary,116
116-HB8281,Natural Resources,116
117-HR532,Oversight and Reform,117
116-HB305,Judiciary,116
117-HB3809,"Science, Space, And Technology",117
117-HB9048,Energy And Commerce,117
117-HB2772,Ways And Means,117
117-HB1699,Foreign Affairs,117
117-HB4052,Education and Labor,117
117-HB1317,Natural Resources,117
116-HB976,Transportation And Infrastructure,116
117-HB3094,Financial Services,117
117-HB5345,Natural Resources,117
117-HR410,Natural Resources,117
117-HB6176,Energy And Commerce,117
117-HB833,Ways And Means,117
116-HB1838,Ways And Means,116
117-HB8782,Homeland Security,117
117-HB1336,Judiciary,117
116-HB2363,Transportation And Infrastructure,116
117-HB6522,Judiciary,117
116-HB5864,"Science, Space, And Technology",116
116-HB3514,Natural Resources,116
117-HR752,Education and Labor,117
117-HJR50,Judiciary,117
117-HB6528,Financial Services,117
117-HB6022,Judiciary,117
116-HB3409,Transportation And Infrastructure,116
116-HR282,Oversight and Reform,116
117-HB8144,Foreign Affairs,117
116-HB6513,Ways And Means,116
116-HR540,Education and Labor,116
117-HB784,Education and Labor,117
117-HB1291,Agriculture,117
116-HB6166,Energy And Commerce,116
116-HB2751,Energy And Commerce,116
117-HB3260,Financial Services,117
116-HB8575,Armed Services,116
117-HJR52,Transportation And Infrastructure,117
117-HR1376,Natural Resources,117
116-HB6051,Education and Labor,116
116-HR210,Judiciary,116
116-HB4993,Armed Services,116
116-HJR44,Education and Labor,116
116-HR719,Energy And Commerce,116
117-HB3900,Judiciary,117
117-HB7600,Homeland Security,117
116-HR788,Rules,116
117-HB1087,Financial Services,117
116-HB1095,Ways And Means,116
116-HB5308,Education and Labor,116
117-HB1135,Foreign Affairs,117
116-HB7426,Transportation And Infrastructure,116
116-HB4410,Armed Services,116
117-HB8210,Energy And Commerce,117
116-HB6117,Foreign Affairs,116
116-HB6359,Transportation And Infrastructure,116
117-HB4700,Armed Services,117
116-HB3445,Energy And Commerce,116
116-HB7787,Ways And Means,116
116-HB2787,Education and Labor,116
117-HB6520,Energy And Commerce,117
117-HB830,Education and Labor,117
116-HB8123,Oversight and Reform,116
116-HB770,Judiciary,116
116-HR1264,Natural Resources,116
117-HB9379,Veterans' Affairs,117
116-HB8551,Education and Labor,116
116-HB74,Judiciary,116
117-HB4488,Energy And Commerce,117
117-HR931,Foreign Affairs,117
117-HCR125,Rules,117
117-HB5242,Education and Labor,117
117-HB8178,Energy And Commerce,117
117-HB3701,Transportation And Infrastructure,117
116-HB7510,Energy And Commerce,116
117-HB9447,Judiciary,117
117-HB3733,Energy And Commerce,117
117-HB2889,Energy And Commerce,117
117-HB2908,Judiciary,117
117-HB6212,Homeland Security,117
117-HR1355,Energy And Commerce,117
117-HB7216,Energy And Commerce,117
116-HB6034,Judiciary,116
117-HR574,Foreign Affairs,117
116-HB9060,Judiciary,116
117-HB4280,Foreign Affairs,117
116-HB3853,Energy And Commerce,116
117-HB5866,Judiciary,117
116-HB2731,Judiciary,116
117-HB7294,Education and Labor,117
117-HB2106,Education and Labor,117
116-HB7931,"Science, Space, And Technology",116
116-HJR86,Judiciary,116
117-HB101,Administration,117
116-HB3603,Judiciary,116
117-HB7906,Judiciary,117
116-HB6195,Education and Labor,116
117-HR73,Administration,117
116-HB5297,Oversight and Reform,116
117-HB7812,Agriculture,117
116-HR947,Oversight and Reform,116
116-HR912,Veterans' Affairs,116
117-HB2894,Armed Services,117
116-HB908,Ways And Means,116
116-HR233,Foreign Affairs,116
117-HB3956,Energy And Commerce,117
117-HB3239,Judiciary,117
117-HB2963,Ways And Means,117
116-HB7896,Ways And Means,116
117-HB4362,Foreign Affairs,117
116-HB4283,Energy And Commerce,116
116-HB5678,Homeland Security,116
117-HB362,Ways And Means,117
117-HB5060,Armed Services,117
116-HB6977,Agriculture,116
116-HB2854,Natural Resources,116
116-HR1130,Energy And Commerce,116
117-HB6029,Financial Services,117
117-HB1646,Financial Services,117
116-HJR48,Judiciary,116
117-HB6512,Energy And Commerce,117
116-HR221,Foreign Affairs,116
116-HB7673,Foreign Affairs,116
117-HB1871,Homeland Security,117
117-HB3943,Education and Labor,117
117-HB7768,Agriculture,117
116-HB8358,Energy And Commerce,116
116-HB4498,Judiciary,116
116-HB6190,Transportation And Infrastructure,116
117-HB4911,Ways And Means,117
117-HB1356,Transportation And Infrastructure,117
117-HB2384,Oversight and Reform,117
117-HB9021,Education and Labor,117
117-HB6040,Oversight and Reform,117
117-HB4812,Energy And Commerce,117
117-HB1053,Energy And Commerce,117
116-HB7150,Judiciary,116
116-HB4659,Natural Resources,116
117-HB3440,Ways And Means,117
116-HB2003,Oversight and Reform,116
117-HB4501,Judiciary,117
116-HB6237,Natural Resources,116
117-HR1087,Judiciary,117
117-HB7119,Transportation And Infrastructure,117
116-HR842,Rules,116
117-HB3931,Ways And Means,117
117-HR655,Natural Resources,117
117-HB5824,Judiciary,117
117-HB720,Education and Labor,117
117-HB5501,Energy And Commerce,117
116-HB7824,Education and Labor,116
117-HB2734,Veterans' Affairs,117
117-HB8123,Foreign Affairs,117
116-HB2397,"Science, Space, And Technology",116
116-HB7056,Natural Resources,116
117-HB9531,Armed Services,117
117-HB3765,Ways And Means,117
117-HB6327,Judiciary,117
116-HR369,Oversight and Reform,116
116-HB5761,Veterans' Affairs,116
117-HB7443,Ways And Means,117
116-HB8534,Education and Labor,116
117-HB7273,Small Business,117
117-HB3307,Ways And Means,117
117-HB5057,Oversight and Reform,117
117-HR1001,Agriculture,117
116-HB5551,Energy And Commerce,116
116-HB6971,Energy And Commerce,116
117-HB2135,Financial Services,117
117-HB4007,Education and Labor,117
116-HB5501,Energy And Commerce,116
117-HB2138,Energy And Commerce,117
116-HB1757,Ways And Means,116
117-HB3880,Ways And Means,117
117-HB4616,Financial Services,117
116-HB2134,Education and Labor,116
117-HB1946,Energy And Commerce,117
117-HB8796,Judiciary,117
116-HB7090,Oversight and Reform,116
116-HB6565,Agriculture,116
116-HB4177,Energy And Commerce,116
117-HB7497,Energy And Commerce,117
116-HB8295,Education and Labor,116
117-HB2037,Education and Labor,117
117-HB3027,Veterans' Affairs,117
116-HB3395,Administration,116
116-HB2770,Ways And Means,116
117-HB6162,Armed Services,117
117-HB4425,Judiciary,117
117-HB723,Ways And Means,117
117-HB7639,Agriculture,117
117-HJR80,Judiciary,117
116-HR836,Ethics,116
117-HB7925,Veterans' Affairs,117
116-HB8328,Education and Labor,116
117-HR577,Judiciary,117
117-HB903,Homeland Security,117
116-HB413,Ways And Means,116
116-HR869,Oversight and Reform,116
116-HB3592,Energy And Commerce,116
117-HB2588,Energy And Commerce,117
117-HB7562,Armed Services,117
117-HB1417,Education and Labor,117
117-HB744,Transportation And Infrastructure,117
116-HB4604,Agriculture,116
117-HB5607,Veterans' Affairs,117
116-HB6823,Financial Services,116
117-HR1059,Energy And Commerce,117
117-HCR66,Oversight and Reform,117
117-HB1875,Energy And Commerce,117
117-HB3725,Ways And Means,117
116-HB4161,Ways And Means,116
116-HR1192,Energy And Commerce,116
116-HB1171,Homeland Security,116
117-HB3251,Ways And Means,117
116-HB5725,Foreign Affairs,116
116-HB3956,Energy And Commerce,116
116-HR60,Oversight and Reform,116
116-HB3768,Financial Services,116
116-HB79,Natural Resources,116
116-HB4805,Ways And Means,116
116-HB1206,Judiciary,116
117-HB7275,Veterans' Affairs,117
117-HB6740,Financial Services,117
116-HB8895,Judiciary,116
117-HB6113,Education and Labor,117
117-HB6172,Oversight and Reform,117
116-HB5024,Veterans' Affairs,116
117-HB6967,Oversight and Reform,117
117-HR1498,Oversight and Reform,117
116-HB5348,Small Business,116
116-HB8420,Education and Labor,116
117-HB6018,Financial Services,117
117-HB636,Education and Labor,117
117-HB7335,Veterans' Affairs,117
117-HB2235,Natural Resources,117
116-HB9043,Energy And Commerce,116
116-HB8761,Financial Services,116
116-HB8860,Veterans' Affairs,116
116-HB8832,Judiciary,116
117-HB189,Energy And Commerce,117
116-HB4473,Ways And Means,116
116-HR268,Education and Labor,116
116-HB3252,Foreign Affairs,116
116-HB1853,Oversight and Reform,116
116-HB8045,Energy And Commerce,116
116-HB337,Natural Resources,116
117-HB2433,Veterans' Affairs,117
116-HB2354,Foreign Affairs,116
117-HB4387,Energy And Commerce,117
117-HB1339,Transportation And Infrastructure,117
117-HB868,Energy And Commerce,117
116-HB2085,Energy And Commerce,116
117-HB2857,Judiciary,117
117-HB7900,Armed Services,117
117-HR1078,Judiciary,117
117-HB862,Energy And Commerce,117
116-HB5149,Foreign Affairs,116
116-HR399,Energy And Commerce,116
116-HCR58,Foreign Affairs,116
117-HR869,Rules,117
116-HB4506,Ways And Means,116
116-HB4455,Energy And Commerce,116
116-HB8629,Ways And Means,116
116-HB8767,Energy And Commerce,116
117-HB59,Natural Resources,117
117-HB4625,Veterans' Affairs,117
117-HB2663,Judiciary,117
116-HB2965,Ways And Means,116
117-HB5787,Veterans' Affairs,117
117-HR1287,Energy And Commerce,117
116-HB4007,Transportation And Infrastructure,116
116-HB2595,Education and Labor,116
117-HB8450,Education and Labor,117
117-HB8704,Judiciary,117
116-HB7596,Armed Services,116
116-HB5181,Judiciary,116
117-HB36,Administration,117
116-HB3615,Judiciary,116
117-HB2511,Judiciary,117
116-HB6700,Transportation And Infrastructure,116
117-HR187,Energy And Commerce,117
116-HB1273,Intelligence,116
117-HB4711,Ways And Means,117
116-HB1250,Oversight and Reform,116
116-HB2845,Ways And Means,116
117-HB3607,Energy And Commerce,117
116-HB1781,Energy And Commerce,116
116-HB2201,Veterans' Affairs,116
117-HB1375,Energy And Commerce,117
117-HR398,Judiciary,117
116-HB600,Judiciary,116
116-HR190,Foreign Affairs,116
116-HB3968,Homeland Security,116
116-HB273,Ways And Means,116
116-HB4850,Energy And Commerce,116
116-HR363,Education and Labor,116
117-HB572,Judiciary,117
117-HB6856,Homeland Security,117
116-HB37,Natural Resources,116
117-HB6500,Ways And Means,117
116-HB5247,Oversight and Reform,116
117-HB3738,Ways And Means,117
116-HB457,Ways And Means,116
116-HB6715,Judiciary,116
116-HR885,Education and Labor,116
116-HB7977,Judiciary,116
116-HB2221,Veterans' Affairs,116
117-HB2134,Transportation And Infrastructure,117
117-HB4374,Agriculture,117
117-HB1303,Judiciary,117
116-HB6016,Oversight and Reform,116
117-HB2528,Natural Resources,117
116-HB5321,Energy And Commerce,116
116-HB7683,Transportation And Infrastructure,116
117-HB100,Administration,117
117-HB2932,Veterans' Affairs,117
116-HB3727,Armed Services,116
116-HB8625,Judiciary,116
116-HB4561,Education and Labor,116
116-HB5812,Transportation And Infrastructure,116
116-HJR79,Judiciary,116
117-HB8752,Oversight and Reform,117
117-HB5868,Armed Services,117
116-HR528,Education and Labor,116
116-HB383,Energy And Commerce,116
116-HB6077,Energy And Commerce,116
117-HB1351,Energy And Commerce,117
117-HB3736,Ways And Means,117
116-HB6407,Appropriations,116
116-HB683,Judiciary,116
116-HB6865,Ways And Means,116
116-HB8730,Financial Services,116
116-HB2275,Oversight and Reform,116
116-HB6777,Administration,116
117-HB4705,Natural Resources,117
117-HR278,Foreign Affairs,117
116-HB3124,Financial Services,116
116-HJR108,Judiciary,116
117-HB5534,Armed Services,117
116-HB510,Ways And Means,116
116-HB9062,Judiciary,116
117-HB5562,Veterans' Affairs,117
116-HB6004,Energy And Commerce,116
116-HB2629,Veterans' Affairs,116
116-HB4221,Education and Labor,116
117-HB4743,Education and Labor,117
116-HB6249,Financial Services,116
116-HB6066,Transportation And Infrastructure,116
117-HB2559,Transportation And Infrastructure,117
117-HB6076,Energy And Commerce,117
117-HB5251,Financial Services,117
117-HB8778,Financial Services,117
117-HB1233,Armed Services,117
116-HB3842,Energy And Commerce,116
117-HB5449,Judiciary,117
117-HR927,Oversight and Reform,117
116-HB7392,Armed Services,116
116-HB7794,Agriculture,116
117-HB8589,Financial Services,117
116-HJR22,Judiciary,116
116-HB5153,Natural Resources,116
116-HB3037,Ways And Means,116
117-HB7877,Energy And Commerce,117
116-HB7958,Energy And Commerce,116
116-HB6904,Agriculture,116
117-HB924,Financial Services,117
116-HB8000,Energy And Commerce,116
117-HB1238,Judiciary,117
116-HB6001,Transportation And Infrastructure,116
116-HB4953,Ways And Means,116
116-HB8908,Judiciary,116
116-HB5338,Foreign Affairs,116
117-HB8548,Education and Labor,117
116-HB8436,Energy And Commerce,116
116-HB3573,Energy And Commerce,116
117-HB626,Judiciary,117
116-HB680,"Science, Space, And Technology",116
117-HB9178,Energy And Commerce,117
116-HB1685,Education and Labor,116
117-HB4403,Education and Labor,117
116-HB3636,Veterans' Affairs,116
116-HB7732,Energy And Commerce,116
116-HB8265,Small Business,116
116-HB2110,Budget,116
117-HB6625,Energy And Commerce,117
116-HB4043,Ways And Means,116
117-HR329,Oversight and Reform,117
116-HR391,Judiciary,116
117-HB1974,Ways And Means,117
117-HB4890,Ways And Means,117
116-HB6994,Financial Services,116
116-HR383,Judiciary,116
117-HR340,Foreign Affairs,117
117-HB8602,Education and Labor,117
117-HB64,Ways And Means,117
116-HR1132,Oversight and Reform,116
116-HB1180,Appropriations,116
117-HB8907,Judiciary,117
117-HB3418,Transportation And Infrastructure,117
116-HB6851,Financial Services,116
117-HB1031,Judiciary,117
116-HB7736,Education and Labor,116
116-HB7764,Education and Labor,116
117-HB9353,Natural Resources,117
116-HB4990,"Science, Space, And Technology",116
116-HB2712,Agriculture,116
116-HB1460,Judiciary,116
116-HB4899,Energy And Commerce,116
117-HB2075,Foreign Affairs,117
116-HB5714,Armed Services,116
117-HB6806,Ways And Means,117
116-HR645,Education and Labor,116
116-HB8805,Ways And Means,116
116-HR1181,Energy And Commerce,116
117-HB1903,Education and Labor,117
117-HR1286,Energy And Commerce,117
117-HB6441,Small Business,117
116-HR872,Oversight and Reform,116
117-HB8192,Judiciary,117
116-HB4357,Agriculture,116
117-HB9029,Natural Resources,117
116-HB6599,Energy And Commerce,116
117-HR775,Agriculture,117
117-HB3762,Energy And Commerce,117
117-HB9209,Energy And Commerce,117
117-HB448,Energy And Commerce,117
117-HR134,Foreign Affairs,117
117-HR1457,Armed Services,117
117-HR663,Rules,117
117-HB1063,Education and Labor,117
117-HB9063,Financial Services,117
117-HB8985,Financial Services,117
117-HB4653,Energy And Commerce,117
116-HR1270,Foreign Affairs,116
116-HB3470,Education and Labor,116
116-HB8127,Energy And Commerce,116
117-HB9165,Education and Labor,117
117-HR985,Foreign Affairs,117
117-HB1016,Judiciary,117
117-HB8532,Foreign Affairs,117
116-HB1521,Education and Labor,116
116-HB2176,Financial Services,116
116-HB7723,Energy And Commerce,116
116-HB2686,Judiciary,116
116-HB4972,Judiciary,116
116-HB6086,Financial Services,116
116-HB8369,Armed Services,116
117-HR1099,Judiciary,117
116-HB1930,Education and Labor,116
117-HB3751,Transportation And Infrastructure,117
117-HB6313,Veterans' Affairs,117
116-HR93,Foreign Affairs,116
116-HB8558,Energy And Commerce,116
116-HB1869,Ways And Means,116
117-HR711,Energy And Commerce,117
117-HB5420,Appropriations,117
116-HB9035,Energy And Commerce,116
116-HB6774,Ways And Means,116
116-HB2293,Energy And Commerce,116
117-HB6793,Judiciary,117
117-HB5595,Agriculture,117
117-HB6478,Energy And Commerce,117
116-HB5845,Energy And Commerce,116
116-HB7679,Agriculture,116
116-HB8559,Veterans' Affairs,116
117-HR684,Energy And Commerce,117
116-HB4092,Foreign Affairs,116
117-HB801,Energy And Commerce,117
117-HB4947,Judiciary,117
116-HB2352,Transportation And Infrastructure,116
117-HB5436,Energy And Commerce,117
117-HB8940,Foreign Affairs,117
117-HB3782,Agriculture,117
116-HB4451,Veterans' Affairs,116
117-HB1301,Armed Services,117
117-HB5836,Energy And Commerce,117
117-HB2571,Judiciary,117
117-HB9506,Administration,117
116-HB2146,Judiciary,116
117-HR1517,Foreign Affairs,117
117-HB3311,Ways And Means,117
117-HB6461,Energy And Commerce,117
116-HB478,Energy And Commerce,116
117-HB130,Judiciary,117
117-HR718,Energy And Commerce,117
116-HB1804,Ways And Means,116
116-HB8329,Foreign Affairs,116
116-HB3202,Foreign Affairs,116
117-HB5232,Financial Services,117
116-HB6900,Judiciary,116
117-HB5323,Appropriations,117
116-HB1885,Judiciary,116
116-HB338,Oversight and Reform,116
117-HB1947,Financial Services,117
117-HR1095,Foreign Affairs,117
117-HR1484,Oversight and Reform,117
116-HB5005,Energy And Commerce,116
117-HB3944,Veterans' Affairs,117
117-HB4543,Ways And Means,117
116-HB4366,Financial Services,116
117-HB5605,Energy And Commerce,117
117-HB5909,Armed Services,117
117-HR933,"Science, Space, And Technology",117
116-HB1636,Judiciary,116
116-HB3765,Oversight and Reform,116
117-HB9232,Transportation And Infrastructure,117
117-HJR44,Judiciary,117
116-HB7113,Energy And Commerce,116
117-HB7542,Administration,117
117-HB5399,Natural Resources,117
117-HB8115,Natural Resources,117
117-HB9075,Foreign Affairs,117
116-HB5767,Judiciary,116
116-HR1188,Oversight and Reform,116
116-HR11,Appropriations,116
116-HB3528,Oversight and Reform,116
116-HB8528,Ways And Means,116
117-HCR102,Judiciary,117
117-HB4547,Education and Labor,117
116-HB2914,Transportation And Infrastructure,116
116-HB5178,Rules,116
116-HB6015,Financial Services,116
116-HB6876,Energy And Commerce,116
117-HB7838,Transportation And Infrastructure,117
117-HR886,Energy And Commerce,117
117-HB9222,Energy And Commerce,117
116-HB2938,Judiciary,116
116-HB6551,Financial Services,116
117-HR1189,Energy And Commerce,117
117-HB947,Transportation And Infrastructure,117
116-HB1748,Transportation And Infrastructure,116
116-HR1166,Oversight and Reform,116
117-HB3869,Rules,117
117-HB5310,Transportation And Infrastructure,117
116-HB4223,Education and Labor,116
117-HB6319,Foreign Affairs,117
116-HB4243,Energy And Commerce,116
117-HB8799,Foreign Affairs,117
117-HB1876,Energy And Commerce,117
117-HB4070,Judiciary,117
117-HB1051,Energy And Commerce,117
117-HR1303,Judiciary,117
116-HR400,Foreign Affairs,116
116-HB1610,Financial Services,116
116-HB1277,Energy And Commerce,116
116-HR1231,Foreign Affairs,116
116-HB1790,Administration,116
117-HB2456,Agriculture,117
117-HB426,Education and Labor,117
116-HR155,Oversight and Reform,116
117-HB1200,Ways And Means,117
116-HB4944,Small Business,116
116-HB4593,Transportation And Infrastructure,116
116-HB5210,Judiciary,116
117-HB4860,Education and Labor,117
117-HB1423,Judiciary,117
117-HJR51,Judiciary,117
117-HB9438,Ways And Means,117
117-HB3703,Transportation And Infrastructure,117
117-HR683,Education and Labor,117
116-HB4542,Natural Resources,116
116-HB6786,Armed Services,116
116-HB8038,Oversight and Reform,116
117-HB6914,Energy And Commerce,117
117-HB7053,Ways And Means,117
117-HB8049,Transportation And Infrastructure,117
116-HB2419,Foreign Affairs,116
117-HB4827,Judiciary,117
116-HB8924,Administration,116
116-HB998,Natural Resources,116
116-HB5421,Energy And Commerce,116
116-HB4055,Administration,116
117-HB3774,Energy And Commerce,117
116-HB2569,Energy And Commerce,116
117-HR1139,Energy And Commerce,117
116-HB5995,Armed Services,116
116-HB729,Natural Resources,116
116-HB230,Agriculture,116
117-HB2914,Education and Labor,117
117-HB6305,Energy And Commerce,117
117-HR343,Oversight and Reform,117
117-HB1376,Energy And Commerce,117
116-HB5380,Ways And Means,116
117-HB441,Natural Resources,117
116-HB7997,Ways And Means,116
116-HB6863,Foreign Affairs,116
117-HCR30,Administration,117
116-HB7680,Agriculture,116
117-HB4287,Ways And Means,117
117-HB8484,Financial Services,117
117-HB8320,Foreign Affairs,117
116-HB6109,Education and Labor,116
116-HB6845,Veterans' Affairs,116
117-HB1677,Energy And Commerce,117
117-HR810,Energy And Commerce,117
116-HB7290,Armed Services,116
116-HB3084,Armed Services,116
116-HB4046,Judiciary,116
116-HB3133,Judiciary,116
117-HB606,Ways And Means,117
116-HB1034,Energy And Commerce,116
117-HB6859,Energy And Commerce,117
116-HB4836,Judiciary,116
117-HB2722,Education and Labor,117
117-HR738,Judiciary,117
117-HB5332,Energy And Commerce,117
117-HB3617,Judiciary,117
116-HB8294,Education and Labor,116
117-HB6277,Ways And Means,117
117-HR200,Administration,117
116-HB2157,Appropriations,116
117-HB4313,Energy And Commerce,117
117-HB4952,Energy And Commerce,117
116-HB5802,Homeland Security,116
116-HB8585,Judiciary,116
117-HB4869,Rules,117
116-HB2023,Foreign Affairs,116
117-HB305,Financial Services,117
117-HB972,Natural Resources,117
116-HB4102,Homeland Security,116
116-HB8822,Judiciary,116
117-HB3456,Energy And Commerce,117
116-HB540,Oversight and Reform,116
117-HB4332,Education and Labor,117
116-HR338,Transportation And Infrastructure,116
117-HB4648,Natural Resources,117
117-HB3522,Energy And Commerce,117
116-HB1597,Energy And Commerce,116
116-HB4363,Oversight and Reform,116
116-HB8692,Oversight and Reform,116
117-HCR84,Judiciary,117
116-HB2058,Education and Labor,116
117-HB4837,Education and Labor,117
116-HB1556,Energy And Commerce,116
116-HB4755,Energy And Commerce,116
116-HR988,Judiciary,116
116-HB1742,Energy And Commerce,116
117-HB1670,Foreign Affairs,117
116-HB7375,Financial Services,116
116-HB8527,Energy And Commerce,116
117-HB4247,Armed Services,117
117-HB6435,Agriculture,117
117-HR736,Agriculture,117
117-HB6887,Transportation And Infrastructure,117
117-HB2934,Energy And Commerce,117
116-HB4986,Foreign Affairs,116
117-HR180,Education and Labor,117
116-HB5585,Natural Resources,116
117-HB6036,Transportation And Infrastructure,117
117-HB8965,Transportation And Infrastructure,117
116-HR846,Energy And Commerce,116
117-HB4770,Energy And Commerce,117
116-HB6331,Financial Services,116
116-HB7641,Ways And Means,116
116-HR472,Foreign Affairs,116
116-HB266,Appropriations,116
117-HB9467,Transportation And Infrastructure,117
117-HB3739,Transportation And Infrastructure,117
117-HB825,Energy And Commerce,117
117-HCR13,Veterans' Affairs,117
117-HB4121,Energy And Commerce,117
116-HB4015,Education and Labor,116
116-HB294,Oversight and Reform,116
116-HB6028,Ways And Means,116
116-HB3248,Energy And Commerce,116
116-HB2869,Armed Services,116
116-HB4257,Agriculture,116
116-HR514,Judiciary,116
116-HB897,Ways And Means,116
116-HB4369,Education and Labor,116
116-HR694,Judiciary,116
117-HB8898,Armed Services,117
117-HB3101,Ways And Means,117
117-HR615,Foreign Affairs,117
116-HB723,Ways And Means,116
117-HB9023,Appropriations,117
116-HR588,Energy And Commerce,116
116-HR45,Agriculture,116
117-HB3334,Transportation And Infrastructure,117
116-HB846,Veterans' Affairs,116
117-HB7076,Energy And Commerce,117
117-HB5557,Foreign Affairs,117
116-HB3144,Oversight and Reform,116
116-HB2081,Agriculture,116
117-HB7458,Energy And Commerce,117
116-HB784,Judiciary,116
116-HR914,Education and Labor,116
116-HB8481,Oversight and Reform,116
116-HB377,Oversight and Reform,116
117-HB9214,Ways And Means,117
116-HB8287,Natural Resources,116
117-HB6835,Ways And Means,117
116-HB3698,Energy And Commerce,116
117-HB1015,Natural Resources,117
116-HR1162,Judiciary,116
116-HB7504,Veterans' Affairs,116
116-HB3733,Natural Resources,116
116-HB7405,Foreign Affairs,116
116-HB57,Homeland Security,116
116-HB4204,Veterans' Affairs,116
117-HB5624,Veterans' Affairs,117
116-HB3846,Natural Resources,116
117-HB1399,Financial Services,117
116-HB5410,Energy And Commerce,116
117-HB4363,Homeland Security,117
117-HB3972,Foreign Affairs,117
116-HB4520,Ways And Means,116
117-HR1041,Energy And Commerce,117
116-HB7856,Intelligence,116
117-HB4551,Energy And Commerce,117
116-HB6881,Energy And Commerce,116
116-HB247,Oversight and Reform,116
116-HB6170,Energy And Commerce,116
117-HB2862,Energy And Commerce,117
116-HB7230,Oversight and Reform,116
116-HB5579,Natural Resources,116
117-HR1234,Agriculture,117
116-HB3996,Veterans' Affairs,116
116-HB5464,Administration,116
116-HB2616,Transportation And Infrastructure,116
116-HB5283,Education and Labor,116
117-HB8372,Foreign Affairs,117
116-HB5325,Education and Labor,116
117-HB8722,Energy And Commerce,117
117-HB2895,Transportation And Infrastructure,117
116-HB1866,Judiciary,116
116-HB1471,Foreign Affairs,116
117-HB8749,Energy And Commerce,117
116-HB2614,Ways And Means,116
116-HB3707,Energy And Commerce,116
116-HB8419,Energy And Commerce,116
117-HB9368,Energy And Commerce,117
116-HB3665,Judiciary,116
117-HB4953,Ways And Means,117
116-HB5716,Judiciary,116
116-HB4361,Judiciary,116
116-HB1018,Financial Services,116
